task,label,index
望眼_目色,目胞色黑晦暗,0
望眼_目色,白睛发黄,1
望眼_目色,两眦淡白,2
望眼_目色,目赤肿痛,3
望眼_目态,目睛凝视,0
望眼_目态,胞睑下垂,1
望眼_目态,睡眠露睛,2
望眼_目态,目睛上视,3
望眼_目态,斜视,4
望眼_目形,眼球凹陷,0
望眼_目形,眼球突出,1
望眼_目形,胞睑红肿,2
望眼_目形,目胞浮肿,3
望眼_目形,无异常,4
望眼_瞳孔,瞳孔缩小,0
望眼_瞳孔,瞳孔等大,1
望眼_瞳孔,瞳孔散大,2
望口_口形,口角无异常,0
望口_口形,口歪不收,1
望口_口形,口疮,2
望口_口形,口糜,3
望口_口形,鹅口疮,4
望口_口态,口张,0
望口_口态,口噤,1
望口_口态,口撮,2
望口_口态,口,3
望口_口态,口振,4
望口_口态,口动,5
望口_口态,无异常,6
望唇_唇色,淡白,0
望唇_唇色,深红,1
望唇_唇色,赤红,2
望唇_唇色,樱桃红,3
望唇_唇色,青紫,4
望唇_唇色,青黑,5
望唇_唇色,红润,6
望唇_唇形,无异常,0
望唇_唇形,唇干而裂,1
望唇_唇形,嘴唇糜烂,2
望唇_唇形,唇内溃烂,3
望唇_唇形,唇边生疮,4
望唇_唇形,唇角生疔,5
望唇_唇形,口唇翻卷不能覆齿,6
望鼻_鼻色,色白,0
望鼻_鼻色,色赤,1
望鼻_鼻色,微黄,2
望鼻_鼻色,灰暗枯槁,3
望鼻_鼻色,红黄隐隐 明润含蓄,4
望鼻_鼻形,鼻头生疖,0
望鼻_鼻形,生粉刺,1
望鼻_鼻形,鼻翼扇动,2
望鼻_鼻形,鼻柱溃陷,3
望鼻_鼻形,无异常,4
面色_面色,青黄,0
面色_面色,红赤满面通红,1
面色_面色,午后潮红,2
面色_面色,久病苍白却时颧赤泛红如妆,3
面色_面色,淡白无华,4
面色_面色,晄白,5
面色_面色,苍白,6
面色_面色,淡青,7
面色_面色,青黑,8
面色_面色,青灰,9
面色_面色,青黄,10
面色_面色,黧黑晦暗,11
面色_面色,紫暗黧黑,12
面色_面色,黑而干焦,13
面色_面色,眼眶发黑,14
面色_面色,萎黄,15
面色_面色,黄胖,16
面色_面色,阳黄,17
面色_面色,阴黄,18
面色_面色,面黄,19
面色_面色,红黄隐隐明润含蓄,20
面色_皮肤光泽,荣润,0
面色_皮肤光泽,枯槁,1
面色_面形,无异常,0
面色_面形,面肿,1
面色_面形,腮肿,2
面色_面形,面削颧耸,3
面色_面形,口眼斜,4
面色_面形,惊恐貌,5
面色_面形,苦笑貌,6
